year,tic,at,revt,xlr,xpr,sic
2021,AEM,10186.776,3823.878,736.9,27.773,1040
2017,APD,18467.2,8187.6,0,105.7,2810
2018,APD,19178.3,8930.200000000001,0,126,2810
2019,APD,18942.8,8918.9,0,68.2,2810
2020,APD,25168.5,8856.299999999999,0,52.6,2810
2021,APD,26859.2,10323,0,16,2810
2017,AIRT,97.14700000000001,194.519,0,1.747,4513
2018,AIRT,115.142,249.834,0,3.064,4513
2019,AIRT,151.427,236.785,0,4.1,4513
2020,AIRT,140.75,175.121,0,2,4513
2021,AIRT,207.599,177.077,0,2.6,4513
2017,EGN1,1643,400.5,0,16,4924
2018,EGN1,1616.2,500.7,0,15,4924
2019,EGN1,1743.6,465.5,0,13.9,4924
2020,EGN1,2051.4,455,0,15,4924
2021,EGN1,2170.5,494,0,16.1,4924
2017,SO1,23864,6039,0,32,4911
2018,SO1,26730,6032,0,51,4911
2019,SO1,29152,6125,0,39,4911
2020,SO1,30803,5830,0,23,4911
2021,SO1,32982,6413,0,6,4911
2017,ALK,10740,7933,2059,135,4512
2018,ALK,10912,8264,2337,178,4512
2019,ALK,12993,8781,2533,204,4512
2020,ALK,14046,3566,2183,182,4512
2021,ALK,13951,6176,2369,147,4512
2017,ATRI,203.78,146.595,0,.72,3841
2018,ATRI,231.216,152.448,0,.752,3841
2019,ATRI,262.031,155.066,0,.845,3841
2020,ATRI,266.89,147.591,0,.917,3841
2021,ATRI,267.264,165.009,0,.98,3841
2017,MATX,2247.5,2046.9,0,10.4,4400
2018,MATX,2430.4,2222.8,0,10.5,4400
2019,MATX,2845.4,2203.1,0,14.1,4400
2020,MATX,2900.6,2383.3,0,12.2,4400
2021,MATX,3693.1,3925.3,0,10.7,4400
2017,ALX,1632.395,237.29,0,.162,6798
2017,ALX,1632.395,230.574,0,.162,6798
2018,ALX,1481.257,246.971,0,.161,6798
2018,ALX,1481.257,232.825,0,.161,6798
2019,ALX,1265.511,226.35,0,.172,6798
2019,ALX,1265.511,234.594,0,.172,6798
2020,ALX,1404.138,209.979,0,.191,6798
2020,ALX,1404.138,212.646,0,.191,6798
2021,ALX,1391.965,280.219,0,.217,6798
2021,ALX,1391.965,206.148,0,.217,6798
2017,AGMJF,1100.29,451.05,0,3.936,4400
2018,AGMJF,1111.893,508.201,0,3.642,4400
2019,AGMJF,1147.377,567.908,0,3.987,4400
2020,AGMJF,1223.096,545.66,0,4.545,4400
2021,AGMJF,1200.083,598.873,0,5.393,4400
2017,ASTL,,,0,0,3312
2018,ASTL,,,0,0,3312
2019,ASTL,,,0,0,3312
2020,ASTL,,,0,0,3312
2021,ASTL,2693.6,3806,53.5,33.4,3312
2017,ALCO,419.182,129.829,0,1.085,0100
2018,ALCO,423.422,81.28100000000001,0,.651,0100
2019,ALCO,417.388,122.251,0,1.549,0100
2020,ALCO,423.937,92.50700000000001,0,.604,0100
2021,ALCO,433.217,108.564,0,.401,0100
2017,PBAJ,0,0,0,0,5500
2018,PBAJ,0,0,0,0,5500
2019,PBAJ,0,0,0,0,5500
2020,PBAJ,0,0,0,0,5500
2021,PBAJ,0,0,0,0,5500
2017,Y,25384.317,6452.755,0,0,6331
2017,Y,25384.317,6423.055,0,0,6331
2018,Y,25344.896,6873.46,0,0,6331
2018,Y,25344.896,6918.66,0,0,6331
2019,Y,26931.604,9025.716,0,0,6331
2019,Y,26931.604,9069.616,0,0,6331
2020,Y,28927.01,8972.119000000001,0,0,6331
2020,Y,28927.01,8943.519,0,0,6331
2021,Y,32268.675,12027.505,0,0,6331
2021,Y,32268.675,12001.005,0,0,6331
2017,HON,59387,40534,0,-667,9997
2018,HON,57773,41802,0,-997,9997
2019,HON,58679,36709,0,-504,9997
2020,HON,64586,32637,0,-776,9997
2021,HON,64470,34392,0,-1056,9997
2017,SWKS,4573.6,3651.4,0,0,3674
2018,SWKS,4828.9,3868,0,0,3674
2019,SWKS,4839.6,3376.8,0,0,3674
2020,SWKS,5106.7,3355.7,0,0,3674
2021,SWKS,8590.700000000001,5109.1,0,0,3674
2017,GYLD,,,0,0,6722
2018,GYLD,,,0,0,6722
2019,GYLD,,,0,0,6722
2020,GYLD,,,0,0,6722
2021,GYLD,,,0,0,6722
2017,HES,23112,5466,0,82,1311
2018,HES,21433,6323,0,1,1311
2019,HES,21782,6495,0,118,1311
2020,HES,18821,4667,0,13,1311
2021,HES,20515,7473,0,-6,1311
2017,AMR1,60012,42195,12160,950,4512
2018,AMR1,70878,44530,12578,795,4512
2019,AMR1,71890,45761,12925,904,4512
2020,AMR1,69215,17335,11230,688,4512
2021,AMR1,71145,29880,11811,623,4512
2017,UHAL,10746.985,3601.114,0,0,7510
2018,UHAL,11891.713,3768.707,0,0,7510
2019,UHAL,13438.024,3978.868,0,0,7510
2020,UHAL,14651.606,4541.985,0,0,7510
2021,UHAL,17299.581,5739.747,0,0,7510
2017,ABLT,118.611,200.53,0,0,2670
2018,ABLT,127.595,202.594,0,0,2670
2019,ABLT,132.568,204.811,0,0,2670
2020,ABLT,121.575,162.477,0,0,2670
2021,ABLT,118.75,190.734,0,0,2670
2017,ABM,3812.6,5453.6,0,82.8,7340
2018,ABM,3627.5,6442.2,0,98.09999999999999,7340
2019,ABM,3692.6,6498.6,0,100.8,7340
2020,ABM,3776.9,5987.6,0,95.7,7340
2021,ABM,4436.2,6228.6,0,100.2,7340
2017,PRI,12460.703,1694.563,0,7.7,6311
2017,PRI,12460.703,1689.102,0,7.7,6311
2018,PRI,12595.048,1899.843,0,8.4,6311
2018,PRI,12595.048,1907.959,0,8.4,6311
2019,PRI,13688.531,2052.504,0,8.9,6311
2019,PRI,13688.531,2061.36,0,8.9,6311
2020,PRI,14905.285,2282.455,0,10,6311
2020,PRI,14905.285,2217.541,0,10,6311
2021,PRI,16123.223,2709.732,0,10.5,6311
2021,PRI,16123.223,2776.695,0,10.5,6311
2017,VBF,,,0,0,6726
2018,VBF,,,0,0,6726
2019,VBF,,,0,0,6726
2020,VBF,,,0,0,6726
2021,VBF,,,0,0,6726
2017,ECOL,802.076,504.042,0,3.873,4955
2018,ECOL,947.898,565.928,0,4.395,4955
2019,ECOL,2231.244,685.509,0,5.298,4955
2020,ECOL,1831.283,933.854,0,7.54,4955
2021,ECOL,1805.398,988.001,0,8.515000000000001,4955
2017,AEP,64729.1,15424.9,0,133.3,4911
2018,AEP,68802.8,16195.7,0,113.6,4911
2019,AEP,75892.3,15561.4,0,99.3,4911
2020,AEP,80757.2,14918.5,0,143.4,4911
2021,AEP,87668.7,16792,0,162.4,4911
2017,AXP,181159,35583,5258,349,6141
2017,AXP,181159,35583,5258,349,6141
2018,AXP,188602,43281,5250,272,6141
2018,AXP,188602,43281,5250,272,6141
2019,AXP,198321,47020,5911,278,6141
2019,AXP,198321,47020,5911,278,6141
2020,AXP,191367,38185,5718,267,6141
2020,AXP,191367,38185,5718,267,6141
2021,AXP,188548,43663,6240,269,6141
2021,AXP,188548,44430,6240,269,6141
2017,AXP1,35889,1087,0,0,6153
2018,AXP1,40042,1461,0,0,6153
2019,AXP1,37357,1615,0,0,6153
2020,AXP1,24308,830,0,0,6153
2017,AFL,137217,21781,0,92,6321
2017,AFL,137217,21700,0,92,6321
2018,AFL,140406,21768,0,84,6321
2018,AFL,140406,21906,0,87,6321
2019,AFL,152768,22484,0,69,6321
2019,AFL,152768,22369,0,69,6321
2020,AFL,165086,22715,0,97,6321
2020,AFL,165086,22359,0,97,6321
2021,AFL,157542,22324,0,92,6321
2021,AFL,157542,21037,0,92,6321
2017,AIG,498301,50081,0,234,6331
2017,AIG,498301,49004,0,234,6331
2018,AIG,491984,47560,0,144,6331
2018,AIG,491984,47909,0,144,6331
2019,AIG,525064,49310,0,202,6331
2019,AIG,525064,49987,0,202,6331
2020,AIG,586481,44379,0,144,6331
2020,AIG,586481,43358,0,144,6331
2021,AIG,596112,52521,0,124,6331
2021,AIG,596112,52046,0,124,6331
2017,HYEM,,,0,0,6722
2018,HYEM,,,0,0,6722
2019,HYEM,,,0,0,6722
2020,HYEM,,,0,0,6722
2021,HYEM,,,0,0,6722
2017,ANAT,26386.764,3411,0,32.554,6311
2017,ANAT,26386.764,3411,0,32.554,6311
2018,ANAT,26912.353,3326.382,0,10.898,6311
2018,ANAT,26912.353,3326.382,0,10.898,6311
2019,ANAT,28597.566,4070.143,0,10.259,6311
2019,ANAT,28597.566,4070.143,0,10.259,6311
2020,ANAT,29467.815,3792.399,0,4.05,6311
2020,ANAT,29467.815,3792.399,0,4.05,6311
2021,ANAT,31320.321,4203.114,0,5.376,6311
2021,ANAT,31320.321,4203.114,0,5.376,6311
2017,ARL,1296.72,173.204,0,0,6512
2017,ARL,1296.72,145.162,0,0,6512
2018,ARL,826.149,142.601,0,0,6512
2018,ARL,826.149,183.011,0,0,6512
2019,ARL,830.641,98.622,0,0,6512
2019,ARL,830.641,73.925,0,0,6512
2020,ARL,865.764,75.00700000000001,0,0,6512
2020,ARL,865.764,119.498,0,0,6512
2021,ARL,770.569,61.229,0,0,6512
2021,ARL,770.569,108.474,0,0,6512
2017,AMS,58.176,19.556,0,.029,8090
2018,AMS,57.502,19.714,0,.027,8090
2019,AMS,53.783,20.605,0,.038,8090
2020,AMS,43.653,17.837,0,.039,8090
2021,AMS,45.43,17.628,0,0,8090
2017,AMSWA,162.965,112.703,0,.33,7372
2018,AMSWA,161.31,108.706,0,.429,7372
2019,AMSWA,171.293,115.466,0,.451,7372
2020,AMSWA,177.157,111.408,0,.451,7372
2021,AMSWA,192.835,127.553,0,.477,7372
2017,AVD,535.592,355.047,0,1.55,2870
2018,AVD,593.587,454.272,0,1.914,2870
2019,AVD,670.098,468.186,0,1.997,2870
2020,AVD,680.293,458.704,0,2.172,2870
2021,AVD,694.16,556.872,0,2.273,2870
2017,AME,7796.064,4300.17,0,25.811,3823
2018,AME,8662.288,4845.872,0,20.29,3823
2019,AME,9844.558999999999,5158.557,0,39.956,3823
2020,AME,10357.483,4540.029,0,29.94,3823
2021,AME,11898.187,5546.514,0,28.329,3823
2017,AMGN,79954,22849,0,196,2836
2018,AMGN,66416,23747,0,173,2836
2019,AMGN,59707,23362,0,220,2836
2020,AMGN,62948,25424,0,231,2836
2021,AMGN,61165,25979,0,279,2836
2017,AP,565.599,432.401,0,5.38,3460
2018,AP,571.119,419.432,0,2.763,3460
2019,AP,506.56,397.904,0,7.468,3460
2020,AP,463.208,328.544,0,.001,3460
2021,AP,485.632,344.92,0,-1.66,3460
2017,AXR,105.865,38.368,0,.999,6552
2017,AXR,105.865,38.381,0,.999,6552
2018,AXR,100.53,12.946,0,.649,6552
2018,AXR,100.53,12.831,0,.649,6552
2019,AXR,96.666,19.299,0,3.027,6552
2019,AXR,96.666,18.783,0,3.027,6552
2020,AXR,97.366,40.069,0,0,6552
2020,AXR,97.366,40.252,0,0,6552
2021,AXR,94.917,62.704,0,-.435,6552
2021,AXR,94.917,62.479,0,-.435,6552
2017,ADI,21141.294,5107.503,0,68.8,3674
2018,ADI,20449.779,6200.942,0,77.7,3674
2019,ADI,21392.641,5991.065,0,83.5,3674
2020,ADI,21468.603,5603.056,0,86.3,3674
2021,ADI,52322.071,7318.286,0,98,3674
2017,ALOG,538.083,486.372,0,4.7,3845
2017,ANDR,1.956,6.944,0,0,3663
2018,ANDR,1.519,1.465,0,0,3663
2019,ANDR,1.289,1.895,0,0,3663
2020,ANDR,1.21,1.355,0,0,3663
2021,ANDR,1.138,1.663,0,0,3663
2017,ANDE,2162.354,3686.345,0,7.707,5150
2018,ANDE,2392.003,3045.382,0,7.573,5150
2019,ANDE,3900.741,8170.191,0,9.148,5150
2020,ANDE,4272.121,8208.436,0,8.396000000000001,5150
2021,ANDE,4569.219,12612.05,0,14.872,5150
2017,NBR,8401.984,2564.285,0,1.2,1381
2018,NBR,7853.944,3057.619,0,.8,1381
2019,NBR,6760.658,3043.383,0,0,1381
2020,NBR,5503.428,2134.043,0,0,1381
2021,NBR,5525.364,2017.548,0,0,1381
2017,APA,21922,5752,0,55,1311
2018,APA,21582,7331,0,55,1311
2019,APA,18107,6280,0,55,1311
2020,APA,12746,4212,0,45,1311
2021,APA,13303,8079,0,33,1311
2017,APOG,1022.32,1326.173,0,11.118,3442
2018,APOG,1068.168,1402.637,0,13.592,3442
2019,APOG,1128.991,1387.439,0,15.729,3442
2020,APOG,1015.099,1230.774,0,9.518000000000001,3442
2021,APOG,887.8630000000001,1313.977,0,14.354,3442
2017,AEP1,11928.6,2934.2,0,13.3,4911
2018,AEP1,12290.5,2967.5,0,10.5,4911
2019,AEP1,12768.3,2924.7,0,7.7,4911
2020,AEP1,13315.2,2796.2,0,11.6,4911
2021,AEP1,14088.9,3105.2,0,13.6,4911
2017,AAPL,375319,229234,0,0,3663
2018,AAPL,365725,265359,0,0,3663
2019,AAPL,338516,260174,0,0,3663
2020,AAPL,323888,274515,0,0,3663
2021,AAPL,351002,365817,0,0,3663
2017,AMAT,19419,14537,0,33,3559
2018,AMAT,17773,17253,0,51,3559
2019,AMAT,19024,14608,0,57,3559
2020,AMAT,22353,17202,0,63,3559
2021,AMAT,25825,23063,0,77,3559
2017,EPAC,1516.955,1095.784,0,5.964,3533
2018,EPAC,1481.338,1182.611,0,5.792,3533
2019,EPAC,1124.274,654.758,0,4.08,3533
2020,EPAC,824.294,493.292,0,2.03,3533
2021,EPAC,820.247,528.66,0,2.178,3533
2017,TREC,327.326,245.143,0,1.412,2911
2018,TREC,329.968,287.932,0,1.502,2911
2019,TREC,301.819,258.959,0,1.321,2911
2020,TREC,316.833,208.626,0,1.271,2911
2021,TREC,293.54,272.69,0,1.3,2911
2017,AOXY,.671,.036,0,0,6512
2018,AOXY,.6879999999999999,.04,0,0,6512
2019,AOXY,.66,.038,0,0,6512
2020,AOXY,.654,.043,0,0,6512
2021,AOXY,.697,.041,0,0,6512
2017,ADM,39963,60828,0,154,2070
2018,ADM,40833,64341,0,215,2070
2019,ADM,43997,64656,0,186,2070
2020,ADM,49719,64355,0,78,2070
2021,ADM,56136,85249,0,174,2070
2017,PNW1,16893.751,3554.139,0,0,4911
2018,PNW1,17565.323,3688.342,0,0,4911
2019,PNW1,18370.723,3471.209,0,0,4911
2020,PNW1,19924.251,3586.982,0,0,4911
2021,PNW1,21909.656,3803.835,0,0,4911
2017,ARCB,1365.641,2826.457,1367.433,178.59,4213
2018,ARCB,1539.231,3093.788,1398.348,203.333,4213
2019,ARCB,1651.207,2988.31,1148.761,176.967,4213
2020,ARCB,1779.008,2940.163,1368.588,159.5,4213
2021,ARCB,2112.676,3980.067,1550.859,171.406,4213
2017,ETR1,10134.029,2139.919,0,41.407,4911
2018,ETR1,10401.596,2060.643,0,47.479,4911
2019,ETR1,11205.633,2259.594,0,48.786,4911
2020,ETR1,12100.131,2084.494,0,86.571,4911
2021,ETR1,12565.119,2338.59,0,98.08199999999999,4911
2017,ARW,16462.809,26812.508,0,65.877,5065
2018,ARW,17784.445,29676.768,0,62.072,5065
2019,ARW,16400.796,28916.847,0,68.471,5065
2020,ARW,17053.911,28673.363,0,48.015,5065
2021,ARW,19535.54,34477.018,0,50.625,5065
2017,ARTW,24.38,20.715,0,.035,3523
2018,ARTW,21.325,19.727,0,.032,3523
2019,ARTW,19.347,22.889,0,.036,3523
2020,ARTW,18.803,22.409,0,.032,3523
2021,ARTW,20.854,24.965,0,.077,3523
2017,AB.,31.159,2.093,.291,.007,6799
2018,AB.,29.869,2.177,.301,.007,6799
2019,AB.,30.701,3.22,.289,.007,6799
2020,AB.,28.729,2.086,.332,.006,6799
2021,AB.,33.442,5.303,.476,.009,6799
2017,ASH,8618,3260,0,31,2820
2018,ASH,8252,3743,0,20,2820
2019,ASH,7251,2493,0,32,2820
2020,ASH,6877,2326,0,29,2820
2021,ASH,6612,2111,0,27,2820
2017,ALOT,122.313,113.401,0,.5,3577
2018,ALOT,118.983,136.657,0,.5,3577
2019,ALOT,116.664,133.446,0,.5,3577
2020,ALOT,115.473,116.033,0,.4,3577
2021,ALOT,114.955,117.48,0,.5,3577
2017,ATRO,735.956,624.4640000000001,0,10.339,3640
2018,ATRO,774.64,803.256,0,11.514,3640
2019,ATRO,782.716,772.702,0,12.883,3640
2020,ATRO,619.745,502.587,0,5.893,3640
2021,ATRO,609.138,444.908,0,7.337,3640
2017,ACLLF,21775,4425,514,43,4932
2018,ACLLF,23344,4888,599,37,4932
2019,ACLLF,21703,4706,538,25,4932
2020,ACLLF,22200,3944,531,35,4932
2021,ACLLF,23004,4289,573,33,4932
2017,SO7,22987,3920,0,33,4924
2018,SO7,21448,3909,0,41,4924
2019,SO7,21687,3792,0,29,4924
2020,SO7,22630,3434,0,23,4924
2021,SO7,23560,4380,0,16,4924
2017,REX,478.864,452.586,0,0,2860
2018,REX,471.393,486.671,0,0,2860
2019,REX,500.502,418.034,0,0,2860
2020,REX,479.345,372.846,0,0,2860
2021,REX,550.361,774.802,0,0,2860
2017,ADSK,4113.6,2056.6,0,51.2,7370
2018,ADSK,4729.2,2569.8,0,43.6,7370
2019,ADSK,6179.3,3274.3,0,53.8,7370
2020,ADSK,7279.8,3790.4,0,56.1,7370
2021,ADSK,8606.799999999999,4386.4,0,65.2,7370
2017,ADP,37180,12379.8,0,112.1,7374
2018,ADP,37088.7,13325.8,0,431,7374
2019,ADP,41887.7,14175.2,0,166.3,7374
2020,ADP,39165.5,14589.8,0,101.1,7374
2021,ADP,48772.5,15005.4,0,78,7374
2017,AVHI.1,1010.144,843.253,0,.3,1531
2017,AVY,5136.9,6613.8,0,58.6,2670
2018,AVY,5177.5,7159,0,147.6,2670
2019,AVY,5488.8,7070.1,0,485.2,2670
2020,AVY,6083.9,6971.5,0,44.4,2670
2021,AVY,7971.6,8408.299999999999,0,40.7,2670
2017,AVT,9699.589,17439.963,0,11.92,5065
2018,AVT,9596.844999999999,19036.892,0,20.076,5065
2019,AVT,8564.556,19518.592,0,-4.853,5065
2020,AVT,8105.197,17634.333,0,3.792,5065
2021,AVT,8925.422,19534.679,0,2.879,5065
2017,AVP,3697.9,5715.6,0,25,2844
2018,AVP,3010,5402.9,0,9.800000000000001,2844
2017,AZZ,1028.209,810.43,0,4.8,3640
2018,AZZ,1088.57,927.087,0,11.278,3640
2019,AZZ,1073.831,1061.817,0,11.103,3640
2020,AZZ,996.442,838.917,0,8.237,3640
2021,AZZ,1133.028,902.664,0,8.957000000000001,3640
2017,BTI,190810.31,27453.047,3624.419,270.58,2111
2018,BTI,186512.879,31215.054,3829.873,237.057,2111
2019,BTI,186747.022,34271.499,4265.892,263.556,2111
2020,BTI,184890.132,34612.013,3684.643,214.848,2111
2021,BTI,186005.947,34778.704,3679.09,166.554,2111
2017,BRT,993.897,157.988,0,.342,6798
2017,BRT,993.897,105.387,0,.342,6798
2018,BRT,1153.364,184.171,0,.35,6798
2018,BRT,1153.364,119.247,0,.35,6798
2019,BRT,390.61,28.867,0,.373,6798
2019,BRT,390.61,39.485,0,.373,6798
2020,BRT,365.741,22.078,0,.386,6798
2020,BRT,365.741,22.078,0,.386,6798
2021,BRT,459.538,73.15600000000001,0,.423,6798
2021,BRT,459.538,62.831,0,.423,6798
2017,BMI,391.727,402.44,0,4.3,3824
2018,BMI,392.691,433.732,0,23.132,3824
2019,BMI,421.893,424.625,0,3.7,3824
2020,BMI,468.38,425.544,0,2.5,3824
2021,BMI,530.818,505.198,0,3.6,3824
2017,BCPC,963.636,594.79,0,3.583,2834
2018,BCPC,981.355,643.679,0,4.592,2834
2019,BCPC,1155.682,643.705,0,4.719,2834
2020,BCPC,1165.843,703.644,0,5.657,2834
2021,BCPC,1199.325,799.023,0,6.467,2834
2017,PTVCB,1357.016,373.561,0,2.797,6331
2017,PTVCB,1357.016,358.765,0,2.797,6331
2018,PTVCB,1490.131,448.512,0,3.486,6331
2018,PTVCB,1490.131,442.122,0,3.486,6331
2019,PTVCB,1634.36,498.264,0,3.213,6331
2019,PTVCB,1634.36,493.953,0,3.213,6331
2020,PTVCB,1722.827,470.191,0,3.274,6331
2020,PTVCB,1722.827,471.139,0,3.274,6331
2017,BALL,17169,10983,0,135,3411
2018,BALL,16554,11635,0,98,3411
2019,BALL,17360,11474,0,48,3411
2020,BALL,18252,11781,0,171,3411
2021,BALL,19714,13811,0,189,3411
2017,BPOP,44277.337,2145.111,482.389,14.996,6020
2017,BPOP,44277.337,2145.111,482.389,14.996,6020
2018,BPOP,47604.577,2549.917,562.9880000000001,18.213,6020
2018,BPOP,47604.577,2549.917,562.9880000000001,18.213,6020
2019,BPOP,52115.324,2830.676,590.625,34.659,6020
2019,BPOP,52115.324,2830.676,590.625,34.659,6020
2020,BPOP,65926,2603.863,564.205,20.165,6020
2020,BPOP,65926,2603.863,564.205,20.165,6020
2021,BPOP,75097.899,2764.765,631.802,9.49,6020
2021,BPOP,75097.899,2764.765,631.802,9.49,6020
2017,BOH,17089.052,689.211,205.536,14.971,6020
2017,BOH,17089.052,689.211,205.536,14.971,6020
2018,BOH,17143.974,719.096,213.208,15.67,6020
2018,BOH,17143.974,719.096,213.208,15.67,6020
2019,BOH,18095.496,770.735,216.106,16.545,6020
2019,BOH,18095.496,770.735,216.106,16.545,6020
2020,BOH,20603.651,730.833,207.329,14.917,6020
2020,BOH,20603.651,730.833,207.329,14.917,6020
2021,BOH,22784.941,698.069,228.293,17.008,6020
2021,BOH,22784.941,698.069,228.293,17.008,6020
2017,BK,371758,15949,5972,205,6020
2017,BK,371758,16617,5972,205,6020
2018,BK,362873,19213,6145,172,6020
2018,BK,362873,18481,6145,172,6020
2019,BK,381508,19353,6063,138,6020
2019,BK,381508,20007,6063,138,6020
2020,BK,469633,16940,5966,184,6020
2020,BK,469633,16151,5966,184,6020
2021,BK,444438,15359,6337,213,6020
2021,BK,444438,16158,6337,213,6020
2017,B,2365.716,1436.499,0,11.191,3490
2018,B,2808.97,1495.889,0,16.886,3490
2019,B,2738.335,1491.118,0,14.895,3490
2020,B,2676.226,1124.391,0,15.653,3490
2021,B,2576.82,1258.846,0,18.128,3490
2017,BRN,33.02,12.937,0,.262,1311
2018,BRN,31.378,9.206,0,.208,1311
2019,BRN,18.302,12.013,0,.025,1311
2020,BRN,15.182,18.329,0,-.22,1311
2021,BRN,24.435,18.105,0,-.198,1311
2017,GOLD,25308,8374,1149,34,1040
2018,GOLD,22631,7243,1157,36,1040
2019,GOLD,44392,9717,1481,42,1040
2020,GOLD,46506,12595,1648,77,1040
2021,GOLD,46890,11985,1497,0,1040
2017,BSET,293.748,452.503,0,2.366,2511
2018,BSET,291.641,456.855,0,2.388,2511
2019,BSET,275.766,452.087,0,2.301,2511
2020,BSET,402.549,385.863,0,1.361,2511
2021,BSET,421.66,486.534,0,1.809,2511
2017,BAX,17111,10561,0,188,2834
2018,BAX,15641,11127,0,107,2834
2019,BAX,18193,11362,0,848,2834
2020,BAX,20019,11673,0,199,2834
2021,BAX,33521,12784,0,164,2834
2017,AIT,1387.595,2593.746,0,7.988,5080
2018,AIT,2285.741,3073.274,0,7.391,5080
