,income,foodexp
124,1389.7929,700.56
125,2497.786,1301.1451
126,1585.3809,879.066
127,1862.0438,912.8851
128,2008.8546,1509.7812
129,697.3099,484.0605
130,571.2517,399.6703
131,598.3465,444.1001
132,461.0977,248.8101
133,977.1107,527.8014
134,883.9849,500.6313
135,718.3594,436.8107
136,543.8971,374.799
137,1587.348,726.3921
138,4957.813,1827.2
139,969.6838,523.4911
140,419.998,334.9998
141,561.999,473.2009
142,689.5988,581.2029
143,1398.5203,929.754
144,820.8168,591.1974
145,875.1716,637.5483
146,1392.4499,674.9509
147,1256.3174,776.7589
148,1362.859,959.517
149,1999.2552,1250.9643
150,1209.473,737.8201
151,1125.0356,810.6772
152,1827.401,983.0009
153,1014.154,708.8968
154,880.3944,633.12
155,2432.391,1424.8047
156,1177.8547,830.9586
157,1222.5939,925.5795
158,1519.5811,1162.0024
159,687.6638,383.458
160,953.1192,621.1173
161,953.1192,621.1173
162,953.1192,621.1173
163,939.0418,548.6002
164,1283.4025,745.2353
165,1511.5789,837.8005
166,1342.5821,795.3402
167,511.798,418.5976
168,689.7988,508.7974
169,1532.3074,883.278
170,1056.0808,742.5276
171,387.3195,242.3202
172,387.3195,242.3202
173,410.9987,266.001
174,832.7554,614.7588
175,614.9986,385.3184
176,887.4658,515.62
177,1024.8177,708.4787
178,1006.4353,734.2356
179,726,433.001
180,494.4174,327.4188
181,748.6413,429.0399
182,987.6417,619.6408
183,788.0961,400.799
184,831.7983,620.8006
185,1139.4945,819.9964
186,507.5169,360.878
187,576.1972,395.7608
188,696.5991,442.0001
189,650.818,404.0384
190,949.5802,670.7993
191,497.1193,297.5702
192,570.1674,353.4882
193,724.7306,383.9376
194,408.3399,284.8008
195,638.6713,431.1
196,1225.789,801.3518
197,715.3701,448.4513
198,800.4708,577.9111
199,975.5974,570.521
200,1613.7565,865.3205
201,608.5019,444.5578
202,958.6634,680.4198
203,835.9426,576.2779
204,873.7375,631.7982
205,951.4432,608.6419
206,473.0022,300.9999
207,601.003,377.9984
208,713.9979,397.0015
209,829.2984,588.5195
210,959.7953,681.7616
211,1212.9613,807.3603
212,958.8743,696.8011
213,1129.4431,811.1962
214,1943.0419,1305.7201
215,539.6388,442.0001
216,463.599,353.6013
217,562.64,468.0008
218,736.7584,526.7573
219,1415.4461,890.239
220,2208.7897,1318.8033
221,636.0009,331.0005
222,759.401,416.4015
223,1078.8382,596.8406
224,499.751,408.4992
225,1020.0225,775.0209
226,1595.1611,1138.162
227,776.5958,485.5198
228,1230.9235,772.7611
229,1807.952,993.963
230,415.4407,305.439
231,440.5174,306.5191
232,541.2006,299.1993
233,581.3599,468.0008
234,743.0772,522.6019
235,1057.6767,750.3202
